Entity,Day,0 or 1 dose,3 doses,2 doses,4 doses
51-60,2022-02-13,13.774895253400700,0.5821614100725570,4.551638336932500,2.6919349628513000
51-60,2022-02-20,15.112413103624700,1.1159382177787400,10.014441879341800,0
51-60,2022-02-27,22.376370552696400,1.406425424291880,6.5721374233935200,1.8582870310148100
51-60,2022-03-06,15.508869880581700,0.780564719060122,7.317100627019240,2.778125043408200
51-60,2022-03-13,21.724961981316500,0.7345998487703780,5.764718768194890,1.1760970044809300
51-60,2022-03-20,9.75538375240836,0.5472571471783420,4.129817875031710,0.8213619824392810
51-60,2022-03-27,14.779781259237400,0.7931635646039660,3.0164092664092700,0.4078885648440850
51-60,2022-04-03,9.93825856864231,0.6614383638660630,4.317656129529680,0.6126925386302650
51-60,2022-04-10,8.765119831709700,0.3427159438882610,1.8896447467876000,0
51-60,2022-04-17,7.56696766382485,0.17547184378794600,1.2839937341105800,0.22802625038194400
51-60,2022-04-24,1.2695510867357300,0.06062818070593030,0.654278984559016,0
51-60,2022-05-01,1.275689191085480,0.19047086938523600,2.653487677866600,0
51-60,2022-05-08,1.2829559304637900,0.13914727765308600,1.3485994794406000,0
51-60,2022-05-15,2.5787485333367700,0.15183607777043900,0.6856359273225920,0
51-60,2022-05-22,2.5918486360396600,0.4168000426803240,2.106504887091340,0
51-60,2022-05-29,0,0.38395380267846200,0,0.08877612348403670
51-60,2022-06-05,1.308078694014230,0.22732025787210100,0.7507507507507510,0.0772908625196512
51-60,2022-06-12,0,0.5408526271240300,0,0
51-60,2022-06-19,2.6439987837605600,0.3281862785316950,2.4487197277023700,0.1903901220527610
51-60,2022-06-26,2.6579839191972900,0.9181943890977270,1.6834024931190900,0
51-60,2022-07-03,4.00630325044737,1.794261950283000,1.7196017402369600,0.41408087946046400
51-60,2022-07-10,2.681504323925720,1.6930751111609600,0,0.1742583275150410
51-60,2022-07-17,4.040784989830690,1.5662407983353100,1.7675495576707200,0.22870813068840000
51-60,2022-07-24,5.410011225773290,0.23847168268004000,0.89850488786659,0.11244116516033000
51-60,2022-07-31,2.7153252959704600,0.7521888696105670,1.8185620629768000,0.27765298818475500
51-60,2022-08-07,0,1.0562115803037700,1.8443038675052100,0.1097245584409460
61-70,2021-10-10,1.8164479360610300,0.09987874720089810,1.1341487322647500,
61-70,2021-10-17,1.8345173614136800,0,0.34578983585356500,
61-70,2021-10-24,1.8481043070070900,0.09356173624385180,0.5421268721447990,
61-70,2021-10-31,4.645566503607280,0.0913692597262577,0.9453439917717260,
61-70,2021-11-07,2.8054425585636100,0,1.2084884226809100,
61-70,2021-11-14,3.3032267806751800,0.1655167391216190,2.629213912843950,
61-70,2021-11-21,5.707056775703160,0.07858515290706130,3.9341756215997500,
61-70,2021-11-28,5.269107700561400,0.5292225342955100,4.883321179289510,
61-70,2021-12-05,5.792204657897910,0.2204977663576270,6.644665441095040,
61-70,2021-12-12,9.254118082546730,0.14457740746684500,5.200603269979320,
61-70,2021-12-19,9.829362270975860,0.42577288422809500,4.425699149823190,
61-70,2021-12-26,3.963162405441420,0.4209111463585220,3.312997837085700,
61-70,2022-01-02,5.997840777320170,0.2773371199094770,1.5285300126868000,
61-70,2022-01-09,6.028817748839450,0.27560091334142700,4.250593754815130,
61-70,2022-01-16,2.5705619248367700,0.6674168431984220,2.7434277758345200,
61-70,2022-01-23,4.643315946694730,0.3312309003982060,6.653163209485930,
61-70,2022-01-30,7.245439254754820,0.26474059062302100,6.2921277616542,0
61-70,2022-02-06,9.758653100426810,1.6583758927866600,10.910433731704000,5.788041905423400
61-70,2022-02-13,9.879008147581980,2.9937430769691300,23.1519194656194,0
61-70,2022-02-20,15.639743716733000,3.7325694007959700,24.01430185088010,2.9353058588704900
61-70,2022-02-27,15.164350181449300,2.9465910285678700,27.64441905253360,2.1921652015695900
61-70,2022-03-06,15.207929099585700,3.8333976965539200,18.949801974569400,1.495629024176840
61-70,2022-03-13,14.196031420549500,3.630609192544620,21.41577758741530,0.35880875493362000
61-70,2022-03-20,13.174258552728700,3.043830203736870,15.003450793682500,0.4019462236147430
61-70,2022-03-27,4.753454176701740,2.600985990439210,9.203677380428890,0.6361555845713190
61-70,2022-04-03,6.8792168276227000,2.248925250459250,7.308415117978700,0.4231168479487300
61-70,2022-04-10,6.361660393362670,1.903253802701100,9.583133684714900,0.3906463634730020
61-70,2022-04-17,3.1862523830512600,1.0687771452695300,3.2501300052002100,0.24706761622987200
61-70,2022-04-24,3.1904711262363100,1.6870115574350100,5.5138342100329700,0.11784545511325500
61-70,2022-05-01,1.596976391365680,1.0200661585765700,2.2331647293962600,0.3428638042110530
61-70,2022-05-08,1.0661549123087600,0.6185209926024890,2.261113372224480,0.1091844901248090
61-70,2022-05-15,2.66864502217644,0.3300324586923120,3.4384348244679000,0.313147170819694
61-70,2022-05-22,2.137037531721650,0.8912894284160900,2.3378961272750700,0.29853122636627800
61-70,2022-05-29,2.1390374331550800,1.416166962038630,1.1969167424713900,0.09312833923301360
61-70,2022-06-05,1.0705778443915100,1.8803266127326300,1.2364913321957600,0.08729964730942490
61-70,2022-06-12,1.6073294221650700,0.2728967167796000,0,0.33135541761965900
61-70,2022-06-19,2.1453933042275000,1.9284729387034900,3.964268724562610,0.948333225328716
61-70,2022-06-26,0.5368723961688790,2.8185389398770400,5.415724556249070,0.7723981959867740
61-70,2022-07-03,3.761600507278700,3.767585203939390,0,0.2282398070004190
61-70,2022-07-10,2.6886490613926100,3.5484761266411700,4.168808971276910,0.4521265773565970
61-70,2022-07-17,2.691196021335800,5.361023708096380,2.803908648656230,1.0455438919325800
61-70,2022-07-24,3.2320968767170500,0.8672425156970900,5.669175276726620,1.0356439041999800
61-70,2022-07-31,3.7733001282922000,1.8004555152453600,4.292336748125680,0.5143069163259380
61-70,2022-08-07,2.157380939539400,5.153335144808720,1.4454417992859500,0.5836944943016830
71-80,2021-10-10,4.877477758701420,0.15029773982258900,1.9901051969607100,
71-80,2021-10-17,1.9688915140775700,0.44236434897238800,4.178034401935270,
71-80,2021-10-24,9.91050811175089,0.1455754524849000,2.5943814346064500,
71-80,2021-10-31,5.975500448162530,0.2879960371745290,4.459567332777370,
71-80,2021-11-07,5.009367517257270,0.7094764773073950,10.720461632400000,
71-80,2021-11-14,9.090358160111510,0.6860639823269920,7.3183481442760100,
71-80,2021-11-21,13.212322014777500,0.8011857549172780,13.386257551595300,
71-80,2021-11-28,15.327393116978700,0.5218845773974400,15.50547860243950,
71-80,2021-12-05,17.487732869737000,1.6657291601265400,17.673964835879600,
71-80,2021-12-12,26.951663228601900,1.2673869649250700,11.226956671431900,
71-80,2021-12-19,11.483813043523700,1.627891542352100,8.81869563474566,
71-80,2021-12-26,19.983592418856100,0.9938616619106250,7.557817302363080,
71-80,2022-01-02,16.959392853735800,0.8621889499400780,6.201770162397780,
71-80,2022-01-09,18.108801942967900,0.9809295042750130,6.382726518405050,
71-80,2022-01-16,9.797304652631120,1.07779009918064,11.930973892859900,
71-80,2022-01-23,13.100722723203600,1.5475545661787900,10.28959493294610,
